dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_staff_attending,Year
09X403,Bronx International High School,False,110801,"Web Page, Digital/Multimedia and Information Resources Design",Information Technology Cluster,6,Non-Approved,"9,10,11,12",178,3,2019-2020
09X403,Bronx International High School,False,151001,Construction Engineering Technology/Technician,Architecture and Construction Cluster,5,Approved,"9,10,11,12",224,3,2019-2020
09X412,Bronx High School of Business,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Non-Approved,"9,10,11,12",136,1,2019-2020
10X213,Bronx Engineering and Technology Academy,False,151199,"Engineering Technology, Other",Scientific Research and Engineering Cluster,4,Approved,"9,10,11,12",334,3,2019-2020
10X237,"The Marie Curie School for Medicine, Nursing, and",False,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,2,Non-Approved,"9,10,11,12",55,0,2019-2020
10X264,Bronx Academy for Software Engineering (BASE),True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,4,Approved,"9,10,11,12",394,2,2019-2020
10X284,Bronx School of Law and Finance,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,8,Non-Approved,"11,12",91,0,2019-2020
10X284,Bronx School of Law and Finance,False,520304,Accounting and Finance,Business Management and Administration Cluster,2,Non-Approved,"9,10,11,12",148,0,2019-2020
10X368,In-Tech Academy (M.S. / High School 368),False,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,3,Approved,"9,10,11,12",127,7,2019-2020
10X368,In-Tech Academy (M.S. / High School 368),False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,"9,10,11,12",137,7,2019-2020
10X437,Fordham High School for the Arts,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",7,Non-Approved,"9,10,11,12",179,1,2019-2020
10X439,Bronx High School for Law and Community Service,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,8,Non-Approved,"9,10,11,12",157,3,2019-2020
10X524,Crotona International High School,True,100203,Recording Arts Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",5,Approved,"9,10,11,12",342,2,2019-2020
10X565,High School for Energy and Technology,True,460302,Electrician,Architecture and Construction Cluster,7,Approved,"9,10,11,12",362,6,2019-2020
11X270,Academy for Scholarship and Entrepreneurship: A Co,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Approved,"9,10,11,12",257,5,2019-2020
11X270,Academy for Scholarship and Entrepreneurship: A Co,False,521401,"Marketing/Marketing Management, General",Marketing Sales and Services Cluster,3,Approved,"9,11,12",77,5,2019-2020
11X275,High School of Computers and Technology,True,151202,Computer Technology/Computer Systems Technology,Information Technology Cluster,6,Approved,"9,10,11,12",563,7,2019-2020
11X418,Bronx High School for the Visual Arts,False,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",4,Approved,"9,10,11,12",357,1,2019-2020
11X508,Bronxdale High School,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,2,Non-Approved,"9,10,11,12",198,0,2019-2020
11X545,Bronx Aerospace High School,False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,3,Approved,"9,10,11,12",161,5,2019-2020
13K419,"Science Skills Center High School for Science, Tec",False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,4,Approved,"9,10,11,12",204,4,2019-2020
13K419,"Science Skills Center High School for Science, Tec",False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,3,Approved,"9,10,11,12",123,4,2019-2020
13K430,Brooklyn Technical High School,False,090102,Mass Communications/Media Studies,"Arts, Audio/Video Technology and Communications Cluster",7,Approved,"9,10,11,12",829,9,2019-2020
13K430,Brooklyn Technical High School,False,150405,Robotics Technology/Technician,Manufacturing Production Cluster,1,Approved,"9,10,11,12",1375,9,2019-2020
13K430,Brooklyn Technical High School,False,151301,"Drafting and Design Technology/Technician, General",Manufacturing Production Cluster,1,Approved,"9,10,11,12",2345,9,2019-2020
13K430,Brooklyn Technical High School,False,430103,Criminal Justice/Law Enforcement Administration,Law and Public Safety Cluster,9,Non-Approved,"10,11,12",546,9,2019-2020
13K605,George Westinghouse Career and Technical Education,True,111004,Web/Multimedia Management and Webmaster,Information Technology Cluster,2,Approved,"10,11,12",144,9,2019-2020
13K605,George Westinghouse Career and Technical Education,True,119999,"Computer and Information Sciences and Support Services, Other",Information Technology Cluster,0,Approved,,0,9,2019-2020
13K605,George Westinghouse Career and Technical Education,True,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,2,Approved,"9,10,11,12",318,9,2019-2020
13K605,George Westinghouse Career and Technical Education,True,460302,Electrician,Architecture and Construction Cluster,5,Approved,"9,10,11,12",137,9,2019-2020
13K674,"City Polytechnic High School of Engineering, Archi",True,150101,Architectural Engineering Technology/Technician,Architecture and Construction Cluster,3,Approved,"9,10,11,12",385,2,2019-2020
14K454,The Williamsburg High School of Art and Technology,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,0,Non-Approved,"9,10,11,12",312,3,2019-2020
14K477,East Williamsburg Scholars Academy,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,9,Non-Approved,"9,10,11,12",154,1,2019-2020
14K478,"The High School for Enterprise, Business and Techn",False,111002,"System, Networking and LAN/WAN Management/Manager",Information Technology Cluster,1,Approved,"9,10,11,12",270,16,2019-2020
14K478,"The High School for Enterprise, Business and Techn",False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,4,Non-Approved,"9,10,11,12",200,16,2019-2020
14K478,"The High School for Enterprise, Business and Techn",False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,6,Approved,"9,10,11,12",246,16,2019-2020
14K558,Williamsburg High School for Architecture and Desi,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,4,Approved,"9,10,11,12",584,3,2019-2020
14K610,A-Tech High School,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",5,Approved,"9,10,11,12",180,5,2019-2020
14K610,A-Tech High School,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,"10,11,12",48,5,2019-2020
15K497,The Boerum Hill School for International Studies,False,120599,"Culinary Arts and Related Services, Other",Hospitality and Tourism Cluster,5,Approved,"9,10,11,12",209,1,2019-2020
15K519,Cobble Hill School of American Studies,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,10,Non-Approved,"9,10,11,12",223,0,2019-2020
16K455,Boys and Girls High School,False,460302,Electrician,Architecture and Construction Cluster,4,Approved,"9,10,11,12",88,4,2019-2020
16K688,The Brooklyn Academy of Global Finance,False,520201,"Business Administration and Management, General",Business Management and Administration Cluster,3,Approved,"9,10,11,12",118,0,2019-2020
17K122,Pathways in Technology Early College High School (,True,150403,Electromechanical Technology/Electromechanical Engineering Technology,Manufacturing Production Cluster,1,Non-Approved,"11,12",28,4,2019-2020
17K122,Pathways in Technology Early College High School (,True,151202,Computer Technology/Computer Systems Technology,Information Technology Cluster,2,Non-Approved,"9,10,11,12",508,4,2019-2020
17K408,Academy of Hospitality and Tourism,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,5,Approved,"9,10,11,12",92,1,2019-2020
17K408,Academy of Hospitality and Tourism,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,5,Approved,"9,10,11,12",136,1,2019-2020
17K543,"Science, Technology and Research Early College Hig",False,460302,Electrician,Architecture and Construction Cluster,3,Non-Approved,"10,11,12",98,1,2019-2020
